type	id	raw	target	ok?	note
plain	3781-156973-0034	WAS THE POLICY WHICH MADE PHARAOH PRACTICAL OWNER OF ALL THE LAND FIRST INSTITUTED BY JOSEPH OR WAS IT ALREADY IN FORCE IN EGYPT	was the policy which made pharaoh practical owner of all the land first instituted by joseph or was it already in force in egypt		
plain	175-127696-0014	AT LENGTH THE ROOTS DECAY AND THE FORLORN GRAY TRUNKS ARE BLOWN DOWN DURING SOME STORM AND PILED ONE UPON ANOTHER ENCUMBERING THE GROUND UNTIL DRY AND SEASONED THEY ARE CONSUMED BY ANOTHER FIRE AND LEAVE THE GROUND READY FOR A FRESH CROP	at length the roots decay and the forlorn gray trunks are blown down during some storm and piled one upon another encumbering the ground until dry and seasoned they are consumed by another fire and leave the ground ready for a fresh crop		
plain	8300-275128-0070	HAD MISSUS PRESTY'S ABOMINABLE SUSPICION OF THEM REACHED THEIR EARS OR NO THAT SECOND POSSIBILITY MIGHT BE ESTIMATED AT ITS RIGHT VALUE BY ANY OTHER WOMAN	had missus presty's abominable suspicion of them reached their ears or no that second possibility might be estimated at its right value by any other woman		
plain	1513-140221-0019	IS A MIXTURE OF JEST AND EARNEST IN WHICH NO DEFINITE RESULT IS OBTAINED BUT SOME SOCRATIC OR PLATONIC TRUTHS ARE ALLOWED DIMLY TO APPEAR	is a mixture of jest and earnest in which no definite result is obtained but some socratic or platonic truths are allowed dimly to appear		
plain	7910-105673-0032	AND CONVINCED OF HIS FIDELITY OR AFRAID TO OFFEND ONE OF SUCH EXTENSIVE POWER AND GREAT CAPACITY REJECTED THE INFORMATION BEING NOW SATIATED WITH PUNISHING THE REBELS HE PUBLISHED ANEW A GENERAL PARDON TO WHICH HE FAITHFULLY ADHERED	and convinced of his fidelity or afraid to offend one of such extensive power and great capacity rejected the information being now satiated with punishing the rebels he published anew a general pardon to which he faithfully adhered		
plain	3977-87547-0018	FIXED AIR WAS NOT SO MUCH INCREASED AS THE REST AND PHLOGISTICATED AIR LESS BUT AFTER PASSING THROUGH THE WATER	fixed air was not so much increased as the rest and phlogisticated air less but after passing through the water		
plain	5684-46243-0045	IS COLOURED MORE BRIGHTLY AND DIVERSELY THAN THE LOWER HENCE THE LOWER SURFACE GENERALLY AFFORDS TO ENTOMOLOGISTS THE MORE USEFUL CHARACTER FOR DETECTING THE AFFINITIES OF THE VARIOUS SPECIES FRITZ MUELLER INFORMS ME THAT THREE SPECIES OF CASTNIA	is coloured more brightly and diversely than the lower hence the lower surface generally affords to entomologists the more useful character for detecting the affinities of the various species fritz mueller informs me that three species of castnia		
plain	6550-53343-0037	AND THE QUIET WATCHFULNESS OF THE SPORT GRADUALLY BRING ON PLEASANT FITS OF MUSING WHICH ARE NOW AND THEN AGREEABLY INTERRUPTED BY THE SONG OF A BIRD THE DISTANT WHISTLE OF THE PEASANT OR PERHAPS THE VAGARY OF SOME FISH LEAPING OUT OF THE STILL WATER	and the quiet watchfulness of the sport gradually bring on pleasant fits of musing which are now and then agreeably interrupted by the song of a bird the distant whistle of the peasant or perhaps the vagary of some fish leaping out of the still water		
plain	1754-140639-0046	THE FIRST CHIRPING ALMOST SINGING OF A BIRD TO DAY THEN I NOTICED A COUPLE OF HONEY BEES SPIRTING AND HUMMING ABOUT THE OPEN WINDOW IN THE SUN FEBRUARY ELEVEN IN THE SOFT ROSE AND PALE GOLD OF THE DECLINING LIGHT	the first chirping almost singing of a bird to day then i noticed a couple of honey bees spirting and humming about the open window in the sun february eleven in the soft rose and pale gold of the declining light		
plain	4238-12538-0006	HE BEGAN TO ASK THEM QUESTIONS ONE OF THESE WAS WHEN DO YOU EXPECT TO GO TO SCHOOL OH WE HAVE SCHOOL NOW RESPONDED THE CHILDREN WE HAVE SCHOOL EVERY DAY	he began to ask them questions one of these was when do you expect to go to school oh we have school now responded the children we have school every day		
