ks-eval N ps=0.19 pr=0.50 src=punct_final | 너는 조그마한하거든 ‖ 애가 | next tags [['punct_final']]
ks-eval N ps=0.00 pr=0.98 src=stageA,punct_final | 응 ‖ 소수과 | next tags [['punct_final']]
ks-eval N ps=0.00 pr=0.00 src=stageA,punct_final | 우리 학교 쪽 ‖ 우리 학교 쪽에 있는 거 | next tags [[], []]
ks-eval N ps=0.25 pr=1.00 src=stageA,punct_final | 아니야 ‖ 고등학교 때도 한자 했잖아 | next tags [[], []]
ks-eval N ps=0.00 pr=0.98 src=punct_final | 응 ‖ 그거 면접 | next tags [[], ['punct_final']]
ks-eval N ps=0.37 pr=0.00 src=stageA,punct_final | 아 그래 ‖ 나한테 뭐 다른 거 물어보지 | next tags [[], []]
ks-eval A ps=0.99 pr=0.73 src=stageA,punct_final | 어차피 한 지 얼마 안 됐으니까 ‖ 그래서 연락을 드렸는데 | next tags [[], []]
ks-eval N ps=0.40 pr=0.96 src=stageA,punct_final | 아니야 ‖ 일 월 아니야 | next tags [[], []]
ks-eval N ps=0.58 pr=0.00 src=punct_final | 그렇지 ‖ 그렇지 | next tags [['punct_final']]
ks-eval N ps=0.98 pr=1.00 src=stageA,punct_final | 맞아 ‖ 할아버지가 편찮으시다는데 내가 거기에 대고 | next tags [[], []]
ks-eval N ps=0.97 pr=1.00 src=stageA,punct_final | 내가 거기에 대고 이제 그만 얘기해 ‖ 이럴 수는 없잖아 | next tags [[], []]
ks-eval N ps=0.57 pr=1.00 src=punct_final | 그렇지 ‖ 사실 그 미팅을 처음에 잡았을 | next tags [[], []]
ks-eval A ps=0.99 pr=1.00 src=stageA,punct_final | 너 한화랑 스카 하는 거 봤어 ‖ 한화랑 SKT | next tags [[], ['punct_final']]
ks-eval N ps=0.90 pr=0.27 src=stageA,punct_final | 아 네 ‖ 아이 그래도 저희 때보다는 그래도 | next tags [[], []]
ks-eval N ps=0.57 pr=0.88 src=punct_final | 네 ‖ 저는 그 위안부 할머니들을 이제 | next tags [[], []]
ks-eval N ps=0.37 pr=0.00 src=stageA,punct_final | 아니야 ‖ 물을 잘 마셔야 돼 | next tags [[], []]
ks-eval A ps=0.19 pr=0.99 src=stageA,punct_final | 자기도 잘 모르겠고 ‖ 그러면 이제 나보고 하는 말이 | next tags [[], []]
ks-eval N ps=0.49 pr=0.95 src=punct_final | 아니지 ‖ 서른 넷이지 | next tags [[], ['punct_final']]
ks-eval A ps=0.00 pr=0.99 src=stageA,punct_final | 한예종은 ‖ 한예종이 근데 진짜 세분화 돼 | next tags [[], []]
ks-eval A ps=0.00 pr=0.98 src=stageA,punct_final | 아 오늘 ‖ 달릴까 | next tags [['punct_final']]
ks-eval N ps=0.00 pr=0.04 src=punct_final | 응 ‖ 있으면 좋잖아 | next tags [[], ['punct_final']]
ks-eval N ps=0.00 pr=1.00 src=stageA,punct_final | 아니 아니 아니 ‖ 이번 학 아 이번 학기에 | next tags [[], ['rep']]
ks-eval N ps=0.00 pr=0.03 src=punct_final | 응 막 애널리스트 ‖ 이런 거 있잖아 주식 이런 | next tags [[], []]
ks-eval A ps=0.01 pr=0.00 src=stageA,punct_final | 주식 이런 거 해주 해주는 사람 ‖ 그런 거 하고 싶어 증권 | next tags [[], []]
ks-eval A ps=0.00 pr=0.00 src=punct_final | 그니까 ‖ 그래서 | next tags [[]]
ks-eval A ps=0.00 pr=0.00 src=stageA,punct_final | 낙천적이지 ‖ 좀 | next tags [['punct_final']]
ks-eval N ps=0.02 pr=0.06 src=punct_final | 알 수 있거든 그래서 그거를 정말 ‖ 그래가지고 내가 | next tags [[], []]
ks-eval N ps=0.62 pr=0.00 src=stageA,punct_final | 네 ‖ 맞습니다 | next tags [['punct_final']]
ks-long N ps=0.47 pr=1.00 src=stageA,punct_final | 갔던 베트남 식당 있는 쪽 있잖아 ‖ 기억나 아 태국 식당 | next tags [['punct_final'], []]
ks-long N ps=0.35 pr=1.00 src=punct_final | 베트남 식당 있는 쪽 있잖아 기억나 ‖ 아 태국 식당 | next tags [[], []]
ks-long A ps=0.00 pr=1.00 src=stageA,punct_final | 배운 적도 없고 학교 다닐 때 ‖ 우리는 컴퓨터 시간에 컴퓨터 게임밖에 | next tags [[], []]
ks-long A ps=0.95 pr=1.00 src=punct_final | 컴퓨터 시간에 컴퓨터 게임밖에 안 했는데 ‖ 코딩 같은 거 배운 애들이 | next tags [[], []]
ks-long A ps=0.78 pr=1.00 src=stageA,punct_final | 아 원래 바닷가 음식을 안 먹으니까 ‖ 그래서 뭐 바닷가에 대한 뭐 | next tags [[], []]
ks-long N ps=0.65 pr=1.00 src=stageA,punct_final | 앞에 있는 관객은 날 이상하게 볼까 ‖ 내가 안 잘생겼나 이런 게 | next tags [[], []]
ks-long A ps=0.00 pr=1.00 src=stageA,punct_final | 아 맞대 ‖ 자기 그거 안 들었대 그거 | next tags [[], []]
ks-long N ps=0.21 pr=0.99 src=stageA,punct_final | 자기 그거 안 들었대 그거 들었다 ‖ 막 이렇게 얘기를 하는 거야 | next tags [['filler'], []]
ks-long A ps=0.62 pr=1.00 src=stageA,punct_final | 거야 그래서 그래 그러니까 이거 남았다 ‖ 이런 식으로 해라 | next tags [[], []]
ks-long A ps=0.02 pr=1.00 src=stageA,punct_final | 컴퓨터 용어 같은 것도 배우고 물리 ‖ 내가 고등학교 때 이제 고삼 | next tags [[], []]
ks-long N ps=0.57 pr=0.90 src=punct_final | 네 ‖ 저는 일단 창업이라는 부분은 좀 | next tags [[], []]
