type	id	raw	target	ok?	note
plain	102-129232-0160	HISTORY IS TO BE READ AND WRITTEN THUS IN ALL WAYS DOES THE SOUL CONCENTRATE AND REPRODUCE ITS TREASURES FOR EACH PUPIL HE TOO SHALL PASS THROUGH THE WHOLE CYCLE OF EXPERIENCE HE SHALL COLLECT INTO A FOCUS THE RAYS OF NATURE	history is to be read and written thus in all ways does the soul concentrate and reproduce its treasures for each pupil he too shall pass through the whole cycle of experience he shall collect into a focus the rays of nature		
plain	782-126738-0128	NOTHING MUCH IT SEEMED MOSTLY NONSENSE ENOUGH TO LET ME GUESS THAT SOMETHING WORRIED YOU MISTER VERLOC RAMMED HIS HAT ON HIS HEAD A CRIMSON FLOOD OF ANGER RAN OVER HIS FACE NONSENSE EH	nothing much it seemed mostly nonsense enough to let me guess that something worried you mister verloc rammed his hat on his head a crimson flood of anger ran over his face nonsense eh		
plain	5831-98684-0031	SHE BURST INTO THE FAMOUS SONG OF CARMEN SHE WAS CARMEN ONE COULD ALMOST SEE THE SWAYING FORM THE SEDUCTIVE FLIRT OF FAN THERE COULD BE NO DOUBT THAT HAD THE VOICE BEEN MORE POWERFUL LADY BRIDGET MIGHT HAVE DONE WELL ON THE OPERATIC STAGE	she burst into the famous song of carmen she was carmen one could almost see the swaying form the seductive flirt of fan there could be no doubt that had the voice been more powerful lady bridget might have done well on the operatic stage		
plain	4511-45511-0015	THE SUN WAS CRAWLING UP THE SIDE OF THE MOUNTAINS WHEN JOHNNY AND DOCTOR PETERSON SWUNG OUT OF THE RANCH YARD BETWEEN TWO ARMORED SCOUT CARS	the sun was crawling up the side of the mountains when johnny and doctor peterson swung out of the ranch yard between two armored scout cars		
plain	572-96582-0021	ONLY WE'RE FEARED HER LADYSHIP MIGHT THINK IT RUDE	only we're feared her ladyship might think it rude		
plain	1784-142294-0049	OF CONTINUALLY ARRANGING SOME PART OF HER GOWN HER WANDERING EYES NOW GLANCING HERE NOW THERE BUT WITHOUT ANY PURPOSE IN HER OBSERVATION AND HE CONTRASTED THEM UNEASILY	of continually arranging some part of her gown her wandering eyes now glancing here now there but without any purpose in her observation and he contrasted them uneasily		
plain	3796-16817-0010	THE PRETERNATURAL PRETER BEYOND IS ASIDE FROM OR BEYOND THE RECOGNIZED RESULTS OR OPERATIONS OF NATURAL LAW OFTEN IN THE SENSE OF INAUSPICIOUS AS A PRETERNATURAL GLOOM	the preternatural preter beyond is aside from or beyond the recognized results or operations of natural law often in the sense of inauspicious as a preternatural gloom		
plain	4218-41146-0025	TO JUDGE IN SUCH A MATTER IN THE MIDDLE OF THEIR CONVERSATION THEY HEARD THE SNORTING OF HORSES AND THE SOUND OF WHEELS ON THE GRAVEL DOLLY HAD NOT TIME TO GET UP TO GO AND MEET HER HUSBAND WHEN FROM THE WINDOW OF THE ROOM BELOW	to judge in such a matter in the middle of their conversation they heard the snorting of horses and the sound of wheels on the gravel dolly had not time to get up to go and meet her husband when from the window of the room below		
plain	4443-3992-0035	IT MADE HIM GUILTY OF THE SINS OF THE WHOLE WORLD IT OVERWHELMED HIM WITH SUCH ANGUISH OF SOUL THAT HIS SWEAT WAS AS BLOOD THE LAW CONDEMNED HIM TO THE SHAMEFUL DEATH ON THE CROSS	it made him guilty of the sins of the whole world it overwhelmed him with such anguish of soul that his sweat was as blood the law condemned him to the shameful death on the cross		
plain	3063-138652-0046	THEY LOOKED UP THE HOOK BY WHICH BOB HAD HELD ON HAD ASCENDED TO THE ROOF AND WAS WINDING ROUND THE CYLINDER NOTHING WAS VISIBLE ELSEWHERE BUT BOARDED DIVISIONS LIKE THE STALLS OF A STABLE ON EACH SIDE OF THE STAGE THEY STOOD UPON	they looked up the hook by which bob had held on had ascended to the roof and was winding round the cylinder nothing was visible elsewhere but boarded divisions like the stalls of a stable on each side of the stage they stood upon		
