type	id	raw	target	ok?	note
numeric_dual	KsponSpeech_335306	(4대)/(사 대) 문명 강. 이런 거야?	사 대 문명 강 이런 거야		
numeric_dual	KsponSpeech_257632	그때가 영하 (30도)/(삼십 도)가 b/ 조금 넘는 날씨였거든. 근데 거기 가게 주인분이 지금은 따뜻한 날씨라고 평상시에는 영하 (40도)/(사십 도)도 종종 내려가고 한다고 그래서 b/ 정말	그때가 영하 삼십 도가 조금 넘는 날씨였거든 근데 거기 가게 주인분이 지금은 따뜻한 날씨라고 평상시에는 영하 사십 도도 종종 내려가고 한다고 그래서 정말		
numeric_dual	KsponSpeech_325633	맞아 (15일)/(십 오 일)이랑 (30일)/(삼십 일) 있었어.	맞아 십 오 일이랑 삼십 일 있었어		
numeric_dual	KsponSpeech_283133	나도 (70점)/(칠십 점)대 나왔네.	나도 칠십 점대 나왔네		
numeric_dual	KsponSpeech_350606	어 ITX 타고 가면 거기 가 (40분)/(사십 분)이면 갈 걸 가평.	어 ITX 타고 가면 거기 가 사십 분이면 갈 걸 가평		
numeric_dual	KsponSpeech_366568	하나 더 시키면 원래 (1000원)/(천 원) 더 받거든? b/ 근데 우+ 우리 학생들끼리 가면은 밥 그냥 주드라고. b/	하나 더 시키면 원래 천 원 더 받거든 근데 우 우리 학생들끼리 가면은 밥 그냥 주드라고		
numeric_dual	KsponSpeech_263898	안데* 후쿠오카 사는 삼촌 말로는 (2박)/(이 박) (3일)/(삼 일)이면 충분하다던데? 이/ 후쿠오카에서 즐길만한 거는 (2박)/(이 박) (3일)/(삼 일)이면 충분하다고?	안데 후쿠오카 사는 삼촌 말로는 이 박 삼 일이면 충분하다던데 이 후쿠오카에서 즐길만한 거는 이 박 삼 일이면 충분하다고		
numeric_dual	KsponSpeech_272374	o/ (9천 9백원)/(구천 구백 원)에 우리 목걸이 이런 거 랜덤 박스 했었잖아. b/ 기억 안 나?	구천 구백 원에 우리 목걸이 이런 거 랜덤 박스 했었잖아 기억 안 나		
numeric_dual	KsponSpeech_250696	o/ l/ 사+ b/ 사장이랑 진짜 전화로 대판 싸우다가 b/ 진짜 사장+ 사장이 그+ 그러면 현금으로 지금 (50만원)/(오십만 원) 주겠다. 막 이래가지고 (50만원)/(오십만 원) 받아가지고 막 그걸로 b/ 사 먹다가 b/ n/ 그랬는데 어쨌든 근 내가 돈을 많이 쓴 거야 나랑 수빈이랑, 걔네가 돈이 그렇게 많은 상태가 아니니까. 그래갖고 돈	사 사장이랑 진짜 전화로 대판 싸우다가 진짜 사장 사장이 그 그러면 현금으로 지금 오십만 원 주겠다 막 이래가지고 오십만 원 받아가지고 막 그걸로 사 먹다가 그랬는데 어쨌든 근 내가 돈을 많이 쓴 거야 나랑 수빈이랑 걔네가 돈이 그렇게 많은 상태가 아니니까 그래갖고 돈		
numeric_dual	KsponSpeech_323152	전세 대출 근데 요즘 그것도 근데 직장 이렇게 (1년)/(일 년)+ (1년)/(일 년) 끊어서 다니면 잘 안 해주잖아.	전세 대출 근데 요즘 그것도 근데 직장 이렇게 일 년 일 년 끊어서 다니면 잘 안 해주잖아		
numeric_dual	KsponSpeech_326137	키도 (187)/(백 팔십 칠) 정도 되고 덩치도 엄청나게 컸었어.	키도 백 팔십 칠 정도 되고 덩치도 엄청나게 컸었어		
numeric_dual	KsponSpeech_306831	o/ 그/ 지가 지른 거 보니까 한때 제일 많았던 게 (7000만 원)/(칠천만 원)이나 (8000만 원)/(팔천만 원) 그렇게 질렀대 한 달에. (7000만 원)/(칠천만 원)인가 (8000만 원)/(팔천만 원)인가.	그 지가 지른 거 보니까 한때 제일 많았던 게 칠천만 원이나 팔천만 원 그렇게 질렀대 한 달에 칠천만 원인가 팔천만 원인가		
latin_dual	KsponSpeech_248554	음/ b/ 지금 베이스가 누구야? (X JAPAN)/(엑스 재팬)에서* 베이스 있어?	음 지금 베이스가 누구야 엑스 재팬에서 베이스 있어		
latin_dual	KsponSpeech_283285	o/ 카메라가 난 몰랐는데, 여기가 깨졌대. 여기, 되게 쪼그맣지? 근데 이게 깨져, 가지고, (as)/(에이에스) 받을 때 약간 문제가 될 수, 있다. 그랬었거든?	카메라가 난 몰랐는데 여기가 깨졌대 여기 되게 쪼그맣지 근데 이게 깨져 가지고 에이에스 받을 때 약간 문제가 될 수 있다 그랬었거든		
latin_dual	KsponSpeech_252268	b/ 제시카 (HO)/(에이치오) 시절. b/	제시카 에이치오 시절		
latin_dual	KsponSpeech_368663	o/ b/ 안 맞고 (b형)/(비 형) 간염 걸려서 죽을 수도 있어. l/ 그러면 장례식 꼭 와. b/	안 맞고 비 형 간염 걸려서 죽을 수도 있어 그러면 장례식 꼭 와		
latin_dual	KsponSpeech_358949	인까* 돈을 열심히 모아. b/ 그럼 되지 않을까? u/ 어차피 그때 너도 (MVP)/(엠브이피) 주라고 해서 쉰다매. b/ 그러면 날짜만 맞으면 그냥 바로 그냥 거기서 놀면 되니까.	인까 돈을 열심히 모아 그럼 되지 않을까 어차피 그때 너도 엠브이피 주라고 해서 쉰다매 그러면 날짜만 맞으면 그냥 바로 그냥 거기서 놀면 되니까		
latin_dual	KsponSpeech_336342	(BJ)/(비제이)들 유튜버 (BJ)/(비제이)들 중에서	비제이들 유튜버 비제이들 중에서		
latin_dual	KsponSpeech_347215	그니깐 근데 (A플러스)/(에이쁠)이면 솔직히 너도 그때 중간고사 때 두 갠가 빼고 다 했다 했잖아 두 갠가 세 갠가 빼고 맞지?	그니깐 근데 에이쁠이면 솔직히 너도 그때 중간고사 때 두 갠가 빼고 다 했다 했잖아 두 갠가 세 갠가 빼고 맞지		
latin_dual	KsponSpeech_266633	o/ b/ 그/ 나와. 뭐/ 약 먹어라, 뭐/ 나는 (b형)/(비 형) 간염 주사 맞으라고 했었는데, b/ 동사무소 가면 그/ 뭐야, 보건소 가면 꽁짜로 맞춰주는데 b/ 너무 가기 귀찮은 거야.	그 나와 뭐 약 먹어라 뭐 나는 비 형 간염 주사 맞으라고 했었는데 동사무소 가면 그 뭐야 보건소 가면 꽁짜로 맞춰주는데 너무 가기 귀찮은 거야		
standalone_latin	KsponSpeech_282624	o/ b/ 근까 너네 그/ 전공 교수야? 전공 교수는 좀 잘 주지 않아? 쫌 잘 주는 편 아니야? b/ 웬만하면 잘 주지. b/ 그/ 너 옛날에 그/ b/ 저번 학기끼지만 해도 뭐/ C 줬다고 막/ 뭐라 했었잖아. b/	근까 너네 그 전공 교수야 전공 교수는 좀 잘 주지 않아 쫌 잘 주는 편 아니야 웬만하면 잘 주지 그 너 옛날에 그 저번 학기끼지만 해도 뭐 C 줬다고 막 뭐라 했었잖아		
standalone_latin	KsponSpeech_267772	막 반 반 스푼만 있어도 슬라임이 댕댕해져 버리니까 무+ 물을 반쯤 버리고 물을 더 넣었는데도 그렇게 돼 그래서 인터넷으로 봤던 게 원래 퍼티를 만들 때 물풀로 만드는 게 아니라 이렇게 슬라임 같은 거 만들 때는 PVA.	막 반 반 스푼만 있어도 슬라임이 댕댕해져 버리니까 무 물을 반쯤 버리고 물을 더 넣었는데도 그렇게 돼 그래서 인터넷으로 봤던 게 원래 퍼티를 만들 때 물풀로 만드는 게 아니라 이렇게 슬라임 같은 거 만들 때는 PVA		
standalone_latin	KsponSpeech_357159	그랜져도 SUV 아니잖아.	그랜져도 SUV 아니잖아		
standalone_latin	KsponSpeech_363228	너는 PT는 안 해?	너는 PT는 안 해		
standalone_latin	KsponSpeech_284254	내일은 음/ 아마 가족들이랑 같이 점심 먹고 b/ 아마 부모님은 등산 가실 거고, 동생들이랑 나랑은 집에서 TV를 볼 같애요 어+ 언니는요?	내일은 음 아마 가족들이랑 같이 점심 먹고 아마 부모님은 등산 가실 거고 동생들이랑 나랑은 집에서 TV를 볼 같애요 어 언니는요		
standalone_latin	KsponSpeech_302900	어. 그 PC에서 거+ 거서부터 시작했지.	어 그 PC에서 거 거서부터 시작했지		
standalone_latin	KsponSpeech_299672	o/ 아/ 근데 우리 그거 인터넷 있잖아. 티비 연결하는 거 올레란 말이야. KT 그래서 b/ 아/ 우리 KT 쓴다고 하니까 아/ 고객님 LG데 왜 KT 쓰세요. 이랬지 그서 b/	아 근데 우리 그거 인터넷 있잖아 티비 연결하는 거 올레란 말이야 KT 그래서 아 우리 KT 쓴다고 하니까 아 고객님 LG데 왜 KT 쓰세요 이랬지 그서		
standalone_latin	KsponSpeech_371371	그니까 이게 좀 어이가 없는 게. 이렇게 고장 났을 때는 본인이 뭐하고+ 뭐하고 하라면서 그걸 뜯+ 뜯으면은 되게 어이없게 얘기하는 게 뜯으셨네요? 당신 잘못이잖아요. 이러면서 AS니 뭐니 하나도 안 해주는 서비스를 안 해주는 경우가 너무 많더라고.	그니까 이게 좀 어이가 없는 게 이렇게 고장 났을 때는 본인이 뭐하고 뭐하고 하라면서 그걸 뜯 뜯으면은 되게 어이없게 얘기하는 게 뜯으셨네요 당신 잘못이잖아요 이러면서 AS니 뭐니 하나도 안 해주는 서비스를 안 해주는 경우가 너무 많더라고		
quarantined	KsponSpeech_264269	o/ 4 (30만원)/(삼십 만 원) 넘었어.	4 삼십 만 원 넘었어		
quarantined	KsponSpeech_258265	아직+ 안+ 했어+ 공연을 아직 안 했어. 근데 고* 스탠딩 까지 본인인증을 다 하신 데다가 b/ 늙은이는 가지 말아야, 진짜. 만 (24세)/(이십 사 세) 미만인가? (25세)/(이십 오 세) 미만인데. b/ 아/ 무조건 대학교에 다니던지 이제 고3+ 졸업을+ 이제+ 수능+ 이번에 수능을 봤던지. 그/ 다 그래서* 내가 그 나인데 대학교 안 갔으면 난+ 못+ 가?+ 나 못 가. 응모할 기회도 없잖아, 그거.	아직 안 했어 공연을 아직 안 했어 근데 고 스탠딩 까지 본인인증을 다 하신 데다가 늙은이는 가지 말아야 진짜 만 이십 사 세 미만인가 이십 오 세 미만인데 아 무조건 대학교에 다니던지 이제 고3 졸업을 이제 수능 이번에 수능을 봤던지 그 다 그래서 내가 그 나인데 대학교 안 갔으면 난 못 가 나 못 가 응모할 기회도 없잖아 그거		
